@relation R_data_frame-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Adosado,Apartamento,Atico,Bungalow,Casa,Chalet,Cortijo,Duplex,Estudio,Pareado,Piso,Triplex,Unifamiliar}

@data
89489.44,0,1,2,61.87,74.25,Adosado
91128.22,0,?,?,90,116.1,Piso
114973.35,0,2,4,132.16,175.16,Adosado
75595.82,0,2,3,92.73,92.73,Piso
165321.59,0,3,4,141.93,171,Adosado
99577.22,0,2,3,69.3,93.6,Piso
100768.6,0,2,4,93.97,135.36,Piso
95470.83,0,1,2,51.2,66.05,Piso
78205.01,0,?,?,76.19,103.5,Piso
181884.04,0,2,4,106.29,136.06,Piso
128710.95,0,2,3,113.77,113.77,Piso
64716.44,0,1,2,54.16,78.35,Piso
95838.11,0,2,4,167.66,202,Casa
42070.33,0,1,3,73.08,91.35,Piso
60441.44,0,2,3,87.93,113.86,Piso
61018.4,0,1,2,44.07,68.56,Chalet
63475.59,0,?,?,47.4,56.35,Piso
86349.42,0,2,3,69.98,84.36,Adosado
92867.28,0,2,4,172,172,Casa
131101.5,?,1,1,36.8,41.9,Piso
71205.35,0,1,3,81,95,Casa
102557.63,0,1,2,52.62,74.09,Piso
216574.08,0,?,?,81.11,113.2,Piso
74057.12,0,1,3,76.12,96.36,Piso
59431.38,0,?,?,69.99,88.1,Piso
110095.3,0,2,4,146.87,153.67,Adosado
79439.29,0,?,?,82.16,102.09,Piso
138763.78,0,2,3,80.75,96.81,Piso
68917.86,0,?,?,57.33,65.9,Piso
61163.92,0,?,?,81,94,Casa
90418.15,0,2,3,81.69,100.95,Piso
40750.44,0,?,?,107,122,Casa
86327.86,0,?,?,109.72,129.7,Piso
67209.13,0,?,?,62.25,82.17,Adosado
83232.85,0,2,4,99.22,111.65,Piso
101674.74,0,?,?,68.96,94.25,Piso
83680.25,0,2,4,110.71,126.87,Piso
62915.69,0,1,2,71.64,82.35,Piso
63864.29,0,1,2,74.04,74.04,Piso
38142.49,0,?,?,63.68,78.68,Piso
70873.77,0,?,?,57.37,57.37,Piso
?,0,?,?,?,?,Adosado
153545.89,0,?,?,186.16,210.09,Adosado
65310.08,0,1,3,100.16,120.49,Piso
50000.32,0,?,?,53.66,82,Casa
84153.98,0,?,?,90.85,118,Piso
208958,?,2,3,82.93,95.13,Piso
56361.48,0,?,?,84,84,Piso
133065.77,0,2,3,82.9,100,Adosado
154383.48,0,1,2,84,114.44,Piso
45374.15,0,1,3,71.83,82.56,Casa
83506.35,0,2,3,90,121.35,Piso
76539.4,0,1,2,79.82,95.78,Piso
54675.78,0,1,2,33.2,40,Casa
114358.77,0,2,3,87.2,110.25,Piso
144287.61,0,2,4,141.61,174.74,Adosado
44204.16,0,1,2,64,64,Piso
32126.49,0,1,2,44.76,44.76,Piso
92933.07,0,1,3,87.1,115.55,Duplex
56092,0,?,?,71,80,Piso
104371.74,0,?,?,85.08,102.1,Piso
71804.41,0,1,1,40.11,52.07,Piso
105290.33,0,2,3,94.92,122.62,Piso
113774.56,0,?,?,75.32,103.6,Piso
53625,0,1,3,56.52,71.5,Piso
?,?,2,3,85.53,122.6,Piso
?,?,2,2,77.19,113.91,Piso
56175.47,0,1,2,64.7,84.04,Piso
78771.33,0,1,3,60.97,68.29,Adosado
97197.5,0,2,4,92.1,114.35,Casa
202012.86,0,2,4,134.21,161.7,Chalet
166884.18,0,2,3,96,127,Piso
126588.18,0,1,3,70,91,Piso
141050,0,2,2,63.82,86,Casa
45577.5,0,1,1,39.48,51.5,Piso
520101.18,0,2,4,257,257,Chalet
210508.5,?,2,3,82.93,95.13,Piso
64500,0,1,2,52,60,Chalet
164463.84,0,3,3,91.57,130,Piso
56709.43,0,1,1,30.55,39.11,Piso
166504.84,0,2,3,84.05,107.18,Piso
114985.85,0,2,4,92.2,112.46,Piso
61553.7,0,1,3,80.54,105.22,Piso
148641.89,0,4,4,89.86,124.5,Adosado
40046.85,0,1,2,44.06,55.89,Piso
45269.58,0,1,1,50.66,64.43,Piso
