@relation INMUEBLE_SIN_OUTLIER-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Piso,Casa,Atico,Adosado,Duplex,Apartamento,Chalet}

@data
82459.04,0,1,3,88.28,88.28,Piso
145448.6,0,1,2,56.5,64,Piso
106568.47,0,1,2,54.99,63.2,Piso
108654.63,0,2,3,83.9,94.66,Piso
115656,0,2,3,86.2,98.82,Piso
118621.31,0,2,3,92.2,107,Piso
162295,0,1,2,51.02,60.79,Apartamento
110510.93,0,2,3,90,104.7,Piso
94660,0,2,3,83.9,94.66,Piso
107030.33,0,2,3,94.65,109.41,Piso
115596,0,2,3,86.2,98.32,Piso
163569.6,0,1,2,51.02,60.79,Apartamento
116598.75,0,2,3,90.35,105.36,Atico
61146,0,1,1,48.65,56.88,Atico
156566.37,1,2,3,79,88,Piso
214599.44,0,3,3,188.89,234.94,Adosado
85813,0,2,3,70.93,94.3,Piso
?,0,3,4,130.52,164,Piso
101172.75,0,1,4,98.24,137.65,Piso
232517.1,0,2,3,107.15,146.08,Duplex
89997.6,0,1,4,94.1,105.1,Piso
140430.7,0,1,2,48.42,58.27,Apartamento
37523.55,1,1,1,31.95,40.9,Piso
74289,1,2,2,66.65,88.88,Piso
70663.8,1,1,2,54.28,69.63,Piso
39008.3,1,1,1,32.84,43,Piso
35644.25,1,1,1,30.2,40.14,Piso
88425.33,1,1,2,62.4,82.26,Piso
92234.78,1,2,2,67.7,88.93,Piso
97339.41,1,2,3,80.55,105.02,Piso
86939.41,1,2,2,71.3,93.26,Piso
96715.89,1,1,2,53.26,78.18,Duplex
96661.06,1,1,2,47.54,78.87,Duplex
112029.79,1,2,3,74.98,110.29,Duplex
100544.66,1,2,2,61.09,93.07,Duplex
36929.14,1,1,1,31.48,40.19,Piso
38775.85,1,1,1,32.08,42.12,Piso
35259.12,1,1,1,28.36,35.5,Piso
36238.66,0,1,1,30.15,36.97,Piso
100637,?,?,?,109.61,153.25,Adosado
92718,?,?,?,98.96,133.8,Adosado
92718,?,?,?,98.65,133.8,Adosado
92718,?,?,?,98.65,133.8,Adosado
92718,?,?,?,98.65,133.8,Adosado
94814,?,?,?,98.65,133.8,Adosado
94814,?,?,?,111.78,148.2,Adosado
92718,?,?,?,111.78,148.2,Adosado
92718,?,?,?,98.65,133.8,Adosado
102948.28,0,1,3,64.17,78.27,Piso
92718,?,?,?,98.65,133.8,Adosado
92718,?,?,?,98.65,133.8,Adosado
92718,?,?,?,98.65,133.8,Adosado
92718,?,?,?,98.65,133.8,Adosado
103059,?,?,?,108.5,153.25,Adosado
144949.35,0,2,3,92.91,106.19,Adosado
113441,1,1,2,55.36,62.24,Piso
171422,1,2,3,88.36,99.76,Piso
156812,1,2,2,75.44,84.36,Piso
102547.61,0,1,3,80,106.8,Piso
168005,1,2,2,77.16,89.65,Piso
119743,1,1,2,55.36,62.24,Piso
181505,1,2,3,88.36,99.76,Piso
180430,1,2,3,90.48,101.04,Piso
156161,1,2,2,74.78,84.36,Piso
166985,1,2,2,76.59,89.65,Piso
126045,1,1,2,55.36,62.24,Piso
191589,0,2,3,88.36,99.76,Piso
194782,1,2,3,90.48,101.04,Piso
161254,1,2,2,74.78,84.36,Piso
46975.76,0,2,5,?,106,Casa
172430,1,2,2,76.59,89.65,Piso
198883,1,2,3,90.48,101.04,Piso
169741,1,2,2,74.78,84.36,Piso
185135,1,2,2,76.59,89.65,Piso
220688,1,2,3,78.96,88.28,Atico
213764,1,2,3,73.72,84.74,Atico
?,?,?,?,?,112,Casa
78252.96,0,1,2,49.9,59.13,Piso
173520.93,1,1,1,38.23,61.23,Piso
106434,1,1,1,29.91,34.53,Piso
153769.81,1,1,2,47.72,57.85,Piso
149845.83,0,1,2,45.59,55.58,Piso
106186.08,0,1,1,29.91,34.53,Piso
84083.42,1,2,3,92.1,110.5,Piso
156114.5,1,1,2,47.72,57.85,Piso
152187.17,0,1,2,45.59,55.58,Piso
164841.83,0,1,1,43.33,52.07,Duplex
106186.08,0,1,1,29.91,34.53,Piso
158553.79,1,1,2,47.72,57.85,Piso
98775.05,0,1,1,27.97,34.23,Piso
106186.08,0,1,1,29.91,34.53,Piso
160993.08,0,1,2,47.72,57.85,Piso
106186.08,1,1,1,29.91,34.53,Piso
185357.88,0,1,2,44.49,52.8,Atico
164403.75,0,2,2,77.23,94.1,Duplex
238883,?,2,3,88.95,108.26,Adosado
237726,?,3,3,115.51,115.51,Adosado
237726,?,3,3,115.51,115.51,Adosado
244858,?,3,3,95.74,116.47,Adosado
237726,?,3,3,100.81,115.51,Adosado
133866.4,?,2,3,69.82,85.86,Piso
100279.8,?,1,2,50.42,60.36,Piso
157900,?,2,3,77.06,98.06,Piso
169133.79,?,2,3,85.55,108.48,Piso
81755.68,1,2,2,77.13,89.97,Duplex
100406.78,?,2,3,77.06,98.06,Piso
171906.48,?,2,3,85.55,108.48,Piso
230609.8,?,2,3,105.75,144.36,Piso
